siteid	size	segmentid	n	k	a	cost	maxdate	mindate	days
754534	728x90	1183	5610	1	0	1.65	2011-07-05	2011-03-01	126
795448	160x600	1183	9526	3	0	1.65	2011-12-08	2011-03-13	270
806883	300x250	1183	2919	1	0	1.66	2011-10-19	2011-07-13	98
806173	300x250	1183	1389	0	0	1.66	2011-07-27	2011-07-13	14
806263	728x90	1183	3306	2	1	1.66	2011-12-11	2011-07-13	151
762782	728x90	1	3586	0	0	1.66	2011-04-24	2011-03-01	54
797916	728x90	1183	5648	0	0	1.67	2011-07-19	2011-04-22	88
789249	300x250	1183	16081	5	0	1.67	2011-08-31	2011-07-13	49
770964	160x600	1183	4602	4	0	1.67	2011-05-28	2011-03-09	80
787432	728x90	1235	2363	3	0	1.67	2011-12-11	2011-07-13	151
743200	300x250	1	486	1	0	1.67	2011-03-17	2011-03-03	14
803438	300x250	1183	10654	2	0	1.67	2011-11-17	2011-07-09	131
743214	728x90	1183	2815	0	0	1.67	2011-06-09	2011-03-09	92
777497	160x600	87	5019	0	0	1.68	2011-12-08	2011-07-14	147
789895	728x90	1183	4992	1	0	1.68	2011-09-26	2011-03-09	201
783204	728x90	1183	2570	3	0	1.68	2011-07-05	2011-03-02	125
808411	728x90	87	1292	5	0	1.69	2011-08-15	2011-07-13	33
780202	728x90	1183	1931	1	0	1.69	2011-03-17	2011-03-01	16
797809	160x600	1183	1633	0	0	1.70	2011-12-11	2011-03-12	274
794925	300x250	1183	905	0	0	1.70	2011-11-29	2011-03-08	266
743392	728x90	1183	4338	0	0	1.70	2011-07-07	2011-03-09	120
730432	180x150	82	99555	18	0	1.71	2011-10-21	2011-05-03	171
797786	120x600	1183	13201	1	0	1.72	2011-06-15	2011-03-01	106
803838	728x90	1183	2982	2	0	1.73	2011-12-11	2011-07-13	151
795883	728x90	1183	4726	0	0	1.73	2011-09-21	2011-03-01	204
776530	300x250	1183	2582	3	0	1.73	2011-07-25	2011-03-01	146
